answer,rt,expName,participant,contrast,language,item,experimentType,word,contrast_location,moras,prof
1,1.218470097,abx,l2_1,s,l2,73,presential ,genkou,1,4,N2
1,1.30142498,abx,l2_1,a,l2,74,presential ,KUrasu,1,3,N2
1,1.284790039,abx,l2_1,v,l2,75,presential ,ise,2,2,N2
1,1.468532085,abx,l2_1,a,l2,76,presential ,NIhon,1,3,N2
1,1.519510031,abx,l2_1,s,l2,77,presential ,kankoku,1,4,N2
1,1.352375984,abx,l2_1,a,l2,78,presential ,kaMI,2,2,N2
1,1.252377033,abx,l2_1,s,l2,79,presential ,kaki,1,2,N2
1,1.334770918,abx,l2_1,v,l2,80,presential ,tousho,1,3,N2
1,1.268347025,abx,l2_1,v,l2,81,presential ,tosho,1,2,N2
1,1.251593113,abx,l2_1,a,l2,82,presential ,KAmi,1,2,N2
1,1.284491062,abx,l2_1,v,l2,83,presential ,seto,1,2,N2
1,1.302604914,abx,l2_1,s,l2,84,presential ,karasu,1,3,N2
1,1.318490028,abx,l2_1,v,l2,85,presential ,katou,2,3,N2
1,1.385905981,abx,l2_1,a,l2,86,presential ,HAshi,2,2,N2
1,1.301687956,abx,l2_1,v,l2,87,presential ,rika,2,2,N2
0,2.068765879,abx,l2_1,v,l2,88,presential ,rubii,2,3,N2
1,1.252771139,abx,l2_1,a,l2,89,presential ,Ishi,1,2,N2
1,1.236031055,abx,l2_1,v,l2,90,presential ,kado,1,2,N2
1,1.367866993,abx,l2_1,s,l2,91,presential ,kangoku,1,4,N2
1,1.300795078,abx,l2_1,s,l2,92,presential ,kakkou,1,4,N2
1,1.303515196,abx,l2_1,v,l2,93,presential ,rikaa,2,3,N2
1,1.301256895,abx,l2_1,s,l2,94,presential ,kankoku,1,4,N2
1,1.28576684,abx,l2_1,v,l2,95,presential ,sayuu,2,3,N2
1,1.284563065,abx,l2_1,a,l2,96,presential ,iSHI,2,2,N2
1,1.284530878,abx,l2_1,v,l2,97,presential ,isei,2,3,N2
1,1.302709818,abx,l2_1,a,l2,98,presential ,Ishi,1,2,N2
1,1.268453836,abx,l2_1,a,l2,99,presential ,SAke,1,2,N2
1,1.268960953,abx,l2_1,a,l2,100,presential ,Ame,2,2,N2
1,1.301797867,abx,l2_1,s,l2,101,presential ,kantan,1,4,N2
1,1.218750954,abx,l2_1,a,l2,102,presential ,KAeru,1,3,N2
1,1.302010059,abx,l2_1,v,l2,103,presential ,tousho,1,3,N2
1,1.302032948,abx,l2_1,s,l2,104,presential ,kaikoku,1,4,N2
1,1.302486181,abx,l2_1,a,l2,105,presential ,Ichi,1,2,N2
1,1.285351992,abx,l2_1,v,l2,106,presential ,isei,2,3,N2
1,1.352161884,abx,l2_1,a,l2,107,presential ,Oku,1,2,N2
1,1.386085033,abx,l2_1,v,l2,108,presential ,sayu,2,2,N2
1,1.317423105,abx,l2_1,v,l2,109,presential ,biru,1,2,N2
1,1.50148797,abx,l2_1,v,l2,110,presential ,tosho,1,3,N2
1,1.268029213,abx,l2_1,s,l2,111,presential ,gakkou,1,4,N2
1,1.484284878,abx,l2_1,s,l2,112,presential ,karasu,1,3,N2
1,1.235244989,abx,l2_1,a,l2,113,presential ,niHON,2,3,N2
1,1.301834822,abx,l2_1,v,l2,114,presential ,kaado,1,3,N2
1,1.302125216,abx,l2_1,s,l2,115,presential ,kaado,1,3,N2
1,1.352527857,abx,l2_1,s,l2,116,presential ,kinkou,1,4,N2
1,1.268286228,abx,l2_1,s,l2,117,presential ,kangoku,1,4,N2
1,1.335261106,abx,l2_1,a,l2,118,presential ,haSHI,2,2,N2
1,1.251556873,abx,l2_1,v,l2,119,presential ,katou,2,3,N2
1,1.284888029,abx,l2_1,v,l2,120,presential ,kado,1,2,N2
1,1.368196011,abx,l2_2,s,l2,1,presential ,gaki,1,2,N2
1,1.40169096,abx,l2_2,a,l2,2,presential ,oKU,2,2,N2
1,1.451752901,abx,l2_2,v,l2,3,presential ,rubi,2,2,N2
1,1.483916998,abx,l2_2,s,l2,4,presential ,kenkou,1,3,N2
1,1.252243996,abx,l2_2,v,l2,5,presential ,kato,1,2,N2
1,1.401023865,abx,l2_2,a,l2,6,presential ,kaERU,2,3,N2
1,1.418353081,abx,l2_2,v,l2,7,presential ,rubi,2,2,N2
1,1.384819031,abx,l2_2,s,l2,8,presential ,kakkou,1,4,N2
1,1.984933138,abx,l2_2,s,l2,9,presential ,gaki,1,2,N2
1,1.418529034,abx,l2_2,s,l2,10,presential ,garasu,1,3,N2
1,1.335318804,abx,l2_2,v,l2,11,presential ,seito,1,3,N2
1,1.385346174,abx,l2_2,v,l2,12,presential ,biru,1,2,N2
1,1.350405931,abx,l2_2,a,l2,13,presential ,iSHI,2,2,N2
1,1.418968916,abx,l2_2,v,l2,14,presential ,sayu,2,2,N2
1,1.385020971,abx,l2_2,a,l2,15,presential ,HAshi,1,2,N2
1,1.36858201,abx,l2_2,a,l2,16,presential ,kaMI,2,2,N2
1,1.334837914,abx,l2_2,a,l2,17,presential ,iCHI,2,2,N2
1,1.385131121,abx,l2_2,v,l2,18,presential ,rikaa,2,3,N2
1,1.318544865,abx,l2_2,a,l2,19,presential ,KAmi,2,2,N2
1,1.335304022,abx,l2_2,v,l2,20,presential ,kaado,1,3,N2
1,1.318662882,abx,l2_2,a,l2,21,presential ,aME,2,2,N2
1,1.334919214,abx,l2_2,s,l2,22,presential ,gantan,1,4,N2
1,1.301699162,abx,l2_2,a,l2,23,presential ,saKE,2,2,N2
1,1.318863869,abx,l2_2,a,l2,24,presential ,haSHI,2,2,N2
1,1.352758169,abx,l2_2,s,l2,25,presential ,ginkou,1,4,N2
1,1.317543983,abx,l2_2,a,l2,26,presential ,iCHI,2,2,N2
1,1.369232893,abx,l2_2,a,l2,27,presential ,aME,2,2,N2
1,1.636138916,abx,l2_2,a,l2,28,presential ,saKE,2,2,N2
1,1.367690086,abx,l2_2,s,l2,29,presential ,kamu,1,2,N2
1,1.351042032,abx,l2_2,s,l2,30,presential ,kaado,1,3,N2
1,1.352291822,abx,l2_2,s,l2,31,presential ,gaado,1,3,N2
1,1.685835123,abx,l2_2,v,l2,32,presential ,yuuri,1,3,N2
1,1.301282167,abx,l2_2,v,l2,33,presential ,yuri,1,2,N2
1,1.501801968,abx,l2_2,a,l2,34,presential ,kuRASU,2,3,N2
1,1.517421007,abx,l2_2,s,l2,35,presential ,kenkou,1,3,N2
1,1.351880074,abx,l2_2,v,l2,36,presential ,biiru,1,3,N2
1,1.301995039,abx,l2_2,a,l2,37,presential ,kaERU,2,3,N2
1,1.335297108,abx,l2_2,s,l2,38,presential ,kaikoku,1,4,N2
1,1.335728168,abx,l2_2,v,l2,39,presential ,rika,2,2,N2
1,1.285537004,abx,l2_2,s,l2,40,presential ,genkou,1,4,N2
1,1.319245815,abx,l2_2,s,l2,41,presential ,kaki,1,2,N2
1,1.30279994,abx,l2_2,s,l2,42,presential ,gaado,1,3,N2
1,1.334153175,abx,l2_2,a,l2,43,presential ,Oku,1,2,N2
1,1.4183321,abx,l2_2,s,l2,44,presential ,garasu,1,3,N2
1,1.335416079,abx,l2_2,s,l2,45,presential ,gaikoku,1,4,N2
1,1.285136938,abx,l2_2,s,l2,46,presential ,gaikoku,1,4,N2
1,1.335808992,abx,l2_2,s,l2,47,presential ,ginkou,1,4,N2
1,1.38399291,abx,l2_2,v,l2,48,presential ,biiru,1,3,N2
