data,model,phonol_emb,fixed_emb,emsize,nhid,nlayers,lr,anneal_factor,anneal_train,patience,clip,epochs,dropout,tied,seed,cuda,stress,log_interval,save_dir,summary,condition,run,feat_tree,alphabet,set_unset_nodes,random_reset,dropout:,epoch,train_loss,val_loss,val_ppl,epoch_time,current_lr,run_cond
data/processed/,LSTM,True,False,68,512,2,0.5,0,False,0,5,25,0.2,False,0,True,False,200,results/grid_af/0-0,results/grid_af/summary_grid_af.csv,0,0,Futrell,IPA,True,False,0.2,20,1.9789,2.1793,8.839916404001704,153.67809915542603,0.0,0-0
data/processed/,LSTM,True,False,68,512,2,0.5,0,False,0,5,25,0.2,False,0,True,False,200,results/grid_af/0-0,results/grid_af/summary_grid_af.csv,0,0,Futrell,IPA,True,False,0.2,21,1.9792,2.1793,8.839916404001704,154.19164061546326,0.0,0-0
data/processed/,LSTM,True,False,68,512,2,0.5,0,False,0,5,25,0.2,False,0,True,False,200,results/grid_af/0-0,results/grid_af/summary_grid_af.csv,0,0,Futrell,IPA,True,False,0.2,22,1.9783,2.1793,8.839916404001704,148.1671621799469,0.0,0-0
data/processed/,LSTM,True,False,68,512,2,0.5,0,False,0,5,25,0.2,False,0,True,False,200,results/grid_af/0-0,results/grid_af/summary_grid_af.csv,0,0,Futrell,IPA,True,False,0.2,23,1.9788,2.1793,8.839916404001704,150.98691773414612,0.0,0-0
data/processed/,LSTM,True,False,68,512,2,0.5,0,False,0,5,25,0.2,False,0,True,False,200,results/grid_af/0-0,results/grid_af/summary_grid_af.csv,0,0,Futrell,IPA,True,False,0.2,24,1.9783,2.1793,8.839916404001704,152.85142135620117,0.0,0-0
data/processed/,LSTM,True,False,68,512,2,0.5,0,False,0,5,25,0.2,False,0,True,False,200,results/grid_af/0-0,results/grid_af/summary_grid_af.csv,0,0,Futrell,IPA,True,False,0.2,25,1.9790,2.1793,8.839916404001704,154.47256088256836,0.0,0-0
data/processed/,LSTM,True,False,68,512,2,0.5,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_af/1-0,results/grid_af/summary_grid_af.csv,1,0,Futrell,IPA,True,False,0.2,1,2.2731,2.4896,12.056678975720168,153.2873044013977,0.5,1-0
data/processed/,LSTM,True,False,68,512,2,0.5,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_af/1-0,results/grid_af/summary_grid_af.csv,1,0,Futrell,IPA,True,False,0.2,2,2.1363,2.3598,10.588450807859948,149.888090133667,0.5,1-0
data/processed/,LSTM,True,False,68,512,2,0.5,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_af/1-0,results/grid_af/summary_grid_af.csv,1,0,Futrell,IPA,True,False,0.2,3,2.0975,2.2804,9.780531604740858,153.69437742233276,0.5,1-0
data/processed/,LSTM,True,False,68,512,2,0.5,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_af/1-0,results/grid_af/summary_grid_af.csv,1,0,Futrell,IPA,True,False,0.2,4,2.0737,2.2431,9.42292870079507,150.60823011398315,0.5,1-0
